40,2,1000,16.339482
16.66666667,0.666666667,800,16.345857
22.5,2,700,16.379102
28.33333333,2,1200,16.297171
28.33333333,2,1000,16.332139
34.16666667,2,700,16.386674
16.66666667,1,800,16.345996
40,0.666666667,800,16.370521
22.5,1.333333333,700,16.379103
34.16666667,1.666666667,1000,16.336928
28.33333333,0.666666667,800,16.361761
34.16666667,1.333333333,700,16.384059
22.5,0.666666667,700,16.374081
40,1,800,16.37063
40,1,1100,16.321111
28.33333333,1.333333333,1100,16.308801
40,1.666666667,700,16.388312
22.5,1.333333333,900,16.336918
28.33333333,2,900,16.34928
40,1.333333333,800,16.370865
40,1.333333333,700,16.387326
10.83333333,0.666666667,1000,16.284837
40,1.666666667,1000,16.339441
28.33333333,1,700,16.379706
16.66666667,1,1100,16.285305
40,1.333333333,900,16.354399
28.33333333,2,700,16.38355
10.83333333,1.333333333,700,16.352978
